HX0,HY1,JX2,JA3,LP4,LD5,VS6,VO7,WC8,TCX9,TCY10,TTX11,TTY12,TBX13,TBY14,TRX15,TRY16,TS1,TS2,TS3,TS4,MA1,MA2,MA3
0.64,-3.9449,-0.05,-2.9836,-0.1571,0.7513,0.7084,-0.1,0.0,2.5111,-0.786,4.5531,-1.054,3.5,0.8221,-1.1204,-0.9433,1.338,0.364,0.084,0.0,-0.05,-0.05,-0.05
0.4071,-5.0257,0.0,-5.0957,0.4382,0.2659,0.55,-0.1,0.0,-0.3054,-1.8116,4.0587,-1.7642,2.4737,-1.4012,-2.054,-3.2838,-0.018,0.47,0.052,-0.026,-0.05,-0.05,-0.05
0.4734,-4.1449,0.0,-2.5336,0.0929,0.7013,0.85,-0.1,0.0,2.3111,-0.786,4.6531,-0.904,3.8,0.3221,-0.9314,-1.1095,1.338,0.164,-0.016,-0.15,-0.05,-0.05,-0.05
0.0333,-4.1194,-0.05,-4.6544,0.158,0.7384,0.65,-0.1,0.0,0.2641,-1.9175,4.3851,-1.5077,2.2797,-0.2684,-2.5919,-2.8105,0.984,0.214,0.51,0.252,-0.05,-0.05,-0.05
0.8224,-4.9363,0.0,-6.2288,0.7435,0.2846,0.3753,-0.1,0.0,-0.1834,-0.9774,2.4269,-1.1931,1.9694,0.2551,-1.3965,-3.1824,0.556,-0.392,-0.15,0.0,-0.05,-0.05,-0.05
0.0959,-4.4762,0.0,-4.3032,0.1994,0.7095,1.0,-0.1,0.0,0.3715,-1.6735,4.3927,-1.1404,2.6563,-0.5311,-2.2483,-2.3437,1.036,0.224,0.588,0.0,0.0,0.0,0.0
0.3836,-4.2816,0.0,-2.8479,-0.0089,0.6239,0.6097,-0.1,0.0,2.3231,-0.5565,4.6728,-1.0341,4.0,0.3136,-0.569,-1.0995,0.896,0.924,0.168,0.0,-0.05,-0.05,-0.05
0.9913,-5.0436,0.0,-1.8308,0.059,0.6251,0.5438,-0.1,0.0,2.5545,-0.4805,4.7833,-0.6915,4.0,0.621,-0.07,-0.5201,1.316,-0.056,-0.14,-0.224,0.0,0.0,0.0
0.9888,-5.2308,0.0,-3.8717,0.9217,0.2733,0.5847,-0.1,0.0,0.5343,-0.9171,3.1891,-0.444,2.6431,0.5572,-0.9615,-2.6154,1.372,0.112,0.028,0.0,0.0,0.0,0.0
0.3104,-4.0874,0.0,-4.4288,0.0708,0.7219,0.9117,-0.1,0.0,1.3816,-1.0951,4.8204,-1.2291,3.2126,0.3563,-1.6079,-1.8819,1.372,0.532,0.42,0.112,-0.05,-0.05,-0.05
